neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
1078,-1.142512,0.345347,-8.960522e-03,2.160667e-03,6.256511e-03,1,0
1581,-1.121980,0.324535,-8.832066e-03,2.030459e-03,6.256511e-03,1,0
769,-1.112854,0.317029,-8.774970e-03,1.983496e-03,6.256511e-03,1,0
669,-1.111059,0.313742,-8.763735e-03,1.962927e-03,6.256511e-03,1,0
166,-1.104671,0.306927,-8.723769e-03,1.920290e-03,6.256511e-03,1,0
363,-1.084188,0.286018,-8.595618e-03,1.789472e-03,6.256511e-03,1,0
1955,-1.081576,0.285537,-8.579274e-03,1.786465e-03,6.256511e-03,1,0
354,-1.078596,0.279659,-8.560635e-03,1.749692e-03,6.256511e-03,1,0
1364,-1.074220,0.277972,-8.533256e-03,1.739132e-03,6.256511e-03,1,0
270,-1.060080,0.264698,-8.444786e-03,1.656087e-03,6.256511e-03,1,0
1603,-1.042502,0.242730,-8.334811e-03,1.518645e-03,6.256511e-03,1,0
56,-1.039680,0.239888,-8.317155e-03,1.500860e-03,6.256511e-03,1,0
213,-1.035300,0.238800,-8.289750e-03,1.494055e-03,6.256511e-03,1,0
1607,-1.030851,0.236629,-8.261915e-03,1.480472e-03,6.256511e-03,1,0
723,-1.019405,0.223502,-8.190305e-03,1.398343e-03,6.256511e-03,1,0
1196,-1.013786,0.216348,-8.155148e-03,1.353582e-03,6.256511e-03,1,0
550,-1.005131,0.208143,-8.101000e-03,1.302247e-03,6.256511e-03,1,0
84,-1.001331,0.202471,-8.077225e-03,1.266764e-03,6.256511e-03,1,0
144,-1.000014,0.201632,-8.068983e-03,1.261511e-03,6.256511e-03,1,0
1548,-1.000013,0.189935,-8.068974e-03,1.188327e-03,6.256511e-03,1,0
63,-1.000012,0.188941,-8.068973e-03,1.182114e-03,6.256511e-03,1,0
1416,-1.000012,0.178016,-8.068973e-03,1.113762e-03,6.256511e-03,1,0
559,-1.000012,0.176181,-8.068969e-03,1.102280e-03,6.256511e-03,1,0
1507,-1.000012,0.173130,-8.068968e-03,1.083192e-03,6.256511e-03,1,0
269,-1.000011,0.173431,-8.068967e-03,1.085074e-03,6.256511e-03,1,0
765,-1.000011,0.167792,-8.068967e-03,1.049793e-03,6.256511e-03,1,0
1141,-1.000011,0.160942,-8.068963e-03,1.006937e-03,6.256511e-03,1,0
715,-1.000011,0.155202,-8.068962e-03,9.710260e-04,6.256511e-03,1,0
1863,-1.000010,0.148362,-8.068959e-03,9.282275e-04,6.256511e-03,1,0
518,-0.919077,-0.046686,-7.944483e-03,-2.750357e-04,5.891233e-03,1,0
1998,-0.918064,-0.050827,-7.938516e-03,-2.994361e-04,5.891233e-03,1,0
1234,-0.915086,-0.059508,-7.920972e-03,-3.505754e-04,5.891233e-03,1,0
569,-0.909776,-0.083058,-7.889688e-03,-4.893126e-04,5.891233e-03,1,0
1162,-0.909599,-0.114255,-7.888644e-03,-6.731028e-04,5.891233e-03,1,0
1402,-0.909116,-0.114947,-7.885613e-03,-7.261623e-04,6.317371e-03,1,0
1587,-0.908269,-0.119785,-7.880265e-03,-7.567271e-04,6.317371e-03,1,0
539,-0.907762,-0.121997,-7.877060e-03,-7.707026e-04,6.317371e-03,1,0
459,-0.907547,-0.123318,-7.875705e-03,-7.790481e-04,6.317371e-03,1,0
922,-0.907526,-0.122367,-7.875571e-03,-7.730400e-04,6.317371e-03,1,0
871,-0.907365,-0.123764,-7.874555e-03,-7.818602e-04,6.317371e-03,1,0
134,-0.906551,-0.131251,-7.869413e-03,-8.291590e-04,6.317371e-03,1,0
1648,-0.906475,-0.129764,-7.868930e-03,-8.197670e-04,6.317371e-03,1,0
1938,-0.906461,-0.129492,-7.868842e-03,-8.180473e-04,6.317371e-03,1,0
1120,-0.906349,-0.127315,-7.868135e-03,-8.042975e-04,6.317371e-03,1,0
1377,-0.906248,-0.134479,-7.867494e-03,-8.495536e-04,6.317371e-03,1,0
155,-0.899472,-0.138376,-7.824706e-03,-7.992031e-04,5.775577e-03,1,0
137,-0.899472,-0.139302,-7.824705e-03,-8.045499e-04,5.775577e-03,1,0
427,-0.899472,-0.140290,-7.824704e-03,-8.102542e-04,5.775577e-03,1,0
429,-0.899472,-0.140490,-7.824703e-03,-8.114082e-04,5.775577e-03,1,0
1397,-0.899471,-0.144185,-7.824700e-03,-8.327495e-04,5.775577e-03,1,0
1959,-0.899430,-0.146033,-7.824464e-03,-8.434247e-04,5.775577e-03,1,0
160,-0.899305,-0.148749,-7.823742e-03,-8.591099e-04,5.775577e-03,1,0
1686,-0.899169,-0.149913,-7.822954e-03,-8.658330e-04,5.775577e-03,1,0
675,-0.899160,-0.150330,-7.822905e-03,-8.682412e-04,5.775577e-03,1,0
955,-0.899125,-0.148275,-7.822702e-03,-8.563716e-04,5.775577e-03,1,0
1778,-0.898881,-0.153299,-7.821292e-03,-8.853890e-04,5.775577e-03,1,0
836,-0.898854,-0.150477,-7.821135e-03,-8.690888e-04,5.775577e-03,1,0
281,-0.898705,-0.153830,-7.820273e-03,-8.884583e-04,5.775577e-03,1,0
875,-0.898563,-0.155523,-7.819456e-03,-8.982351e-04,5.775577e-03,1,0
864,-0.898498,-0.158081,-7.819077e-03,-9.130073e-04,5.775577e-03,1,0
1106,-0.898449,-0.157510,-7.818796e-03,-9.097101e-04,5.775577e-03,1,0
351,-0.898436,-0.157727,-7.818723e-03,-9.109640e-04,5.775577e-03,1,0
1869,-0.898420,-0.158803,-7.818631e-03,-9.171800e-04,5.775577e-03,1,0
1293,-0.898390,-0.158532,-7.818458e-03,-9.156164e-04,5.775577e-03,1,0
1509,-0.898157,-0.160189,-7.817111e-03,-9.251851e-04,5.775577e-03,1,0
759,-0.898106,-0.132029,-7.816814e-03,-7.625442e-04,5.775577e-03,1,0
1551,-0.898063,-0.164359,-7.816564e-03,-9.492670e-04,5.775577e-03,1,0
609,-0.898055,-0.134199,-7.816519e-03,-7.750738e-04,5.775577e-03,1,0
171,-0.898043,-0.164725,-7.816448e-03,-9.513793e-04,5.775577e-03,1,0
773,-0.898024,-0.135528,-7.816339e-03,-7.827509e-04,5.775577e-03,1,0
970,-0.898009,-0.136123,-7.816257e-03,-7.861875e-04,5.775577e-03,1,0
613,-0.897980,-0.165850,-7.816089e-03,-9.578772e-04,5.775577e-03,1,0
963,-0.897931,-0.139459,-7.815804e-03,-8.054561e-04,5.775577e-03,1,0
834,-0.897884,-0.167604,-7.815532e-03,-9.680089e-04,5.775577e-03,1,0
1115,-0.897882,-0.167653,-7.815518e-03,-9.682932e-04,5.775577e-03,1,0
335,-0.897857,-0.142584,-7.815377e-03,-8.235043e-04,5.775577e-03,1,0
961,-0.897843,-0.143146,-7.815296e-03,-8.267512e-04,5.775577e-03,1,0
1246,-0.897827,-0.168656,-7.815204e-03,-9.740877e-04,5.775577e-03,1,0
717,-0.897821,-0.144080,-7.815170e-03,-8.321456e-04,5.775577e-03,1,0
15,-0.897790,-0.145383,-7.814989e-03,-8.396701e-04,5.775577e-03,1,0
1812,-0.897768,-0.146333,-7.814862e-03,-8.451578e-04,5.775577e-03,1,0
211,-0.897749,-0.147126,-7.814752e-03,-8.497355e-04,5.775577e-03,1,0
1703,-0.897728,-0.148011,-7.814632e-03,-8.548476e-04,5.775577e-03,1,0
1541,-0.897686,-0.159878,-7.814387e-03,-9.233863e-04,5.775577e-03,1,0
1014,-0.897681,-0.149980,-7.814362e-03,-8.662199e-04,5.775577e-03,1,0
1832,-0.897667,-0.150589,-7.814278e-03,-8.697399e-04,5.775577e-03,1,0
1414,-0.897651,-0.171918,-7.814187e-03,-9.929255e-04,5.775577e-03,1,0
574,-0.897648,-0.151402,-7.814168e-03,-8.744330e-04,5.775577e-03,1,0
1886,-0.897643,-0.151606,-7.814143e-03,-8.756106e-04,5.775577e-03,1,0
490,-0.897622,-0.152507,-7.814018e-03,-8.808149e-04,5.775577e-03,1,0
685,-0.897582,-0.162194,-7.813790e-03,-9.367627e-04,5.775577e-03,1,0
1410,-0.897566,-0.162568,-7.813699e-03,-9.389231e-04,5.775577e-03,1,0
470,-0.897565,-0.154931,-7.813688e-03,-8.948164e-04,5.775577e-03,1,0
1462,-0.897539,-0.174035,-7.813540e-03,-1.005154e-03,5.775577e-03,1,0
1411,-0.897514,-0.169657,-7.813395e-03,-9.798650e-04,5.775577e-03,1,0
591,-0.897486,-0.158253,-7.813236e-03,-9.140026e-04,5.775577e-03,1,0
1,-0.897476,-0.158645,-7.813177e-03,-9.162687e-04,5.775577e-03,1,0
