neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
134,-1.550596,-0.451425,2.084924e-03,4.813062e-04,-1.066194e-03,1,0
85,-1.513233,-0.413846,2.045087e-03,4.412400e-04,-1.066194e-03,1,0
49,-1.471342,-0.373307,2.000423e-03,3.980180e-04,-1.066194e-03,1,0
10,-1.416092,-0.317105,1.941515e-03,3.380959e-04,-1.066194e-03,1,0
241,-1.370509,-0.271422,1.892915e-03,2.893885e-04,-1.066194e-03,1,0
148,-1.355578,-0.255968,1.876996e-03,2.729119e-04,-1.066194e-03,1,0
193,-1.200883,-0.104183,1.712062e-03,1.110796e-04,-1.066194e-03,1,0
55,-1.039033,0.058293,1.539498e-03,-6.215212e-05,-1.066194e-03,1,0
34,-1.000000,0.114515,1.497881e-03,-1.340997e-04,-1.171024e-03,1,0
13,-1.000000,0.131273,1.497881e-03,-1.537243e-04,-1.171024e-03,1,0
235,-1.000000,0.132397,1.497881e-03,-1.550396e-04,-1.171024e-03,1,0
48,-1.000000,0.129964,1.497881e-03,-1.521912e-04,-1.171024e-03,1,0
17,-1.000000,0.141233,1.497881e-03,-1.653872e-04,-1.171024e-03,1,0
50,-1.000000,0.152628,1.497881e-03,-1.787311e-04,-1.171024e-03,1,0
127,-1.000000,0.160923,1.497881e-03,-1.884446e-04,-1.171024e-03,1,0
117,-1.000000,0.154634,1.497881e-03,-1.810798e-04,-1.171024e-03,1,0
87,-1.000000,0.160978,1.497881e-03,-1.885091e-04,-1.171024e-03,1,0
112,-1.000000,0.170538,1.497881e-03,-1.997041e-04,-1.171024e-03,1,0
136,-1.000000,0.175992,1.497881e-03,-2.060908e-04,-1.171024e-03,1,0
150,-1.000000,0.176148,1.497881e-03,-2.062736e-04,-1.171024e-03,1,0
25,-1.000000,0.177387,1.497881e-03,-2.077251e-04,-1.171024e-03,1,0
114,-1.000000,0.180169,1.497881e-03,-2.109824e-04,-1.171024e-03,1,0
102,-1.000000,0.181607,1.497881e-03,-2.126658e-04,-1.171024e-03,1,0
52,-1.000000,0.174764,1.497881e-03,-2.046535e-04,-1.171024e-03,1,0
32,-1.000000,0.183915,1.497881e-03,-2.153689e-04,-1.171024e-03,1,0
192,-1.000000,0.178675,1.497881e-03,-2.092328e-04,-1.171024e-03,1,0
154,-1.000000,0.185984,1.497881e-03,-2.177913e-04,-1.171024e-03,1,0
12,-1.000000,0.179982,1.497880e-03,-2.107635e-04,-1.171024e-03,1,0
118,-1.000000,0.187136,1.497880e-03,-2.191403e-04,-1.171024e-03,1,0
164,-1.000000,0.188235,1.497880e-03,-2.204274e-04,-1.171024e-03,1,0
175,-1.000000,0.190300,1.497880e-03,-2.228459e-04,-1.171024e-03,1,0
206,-1.000000,0.191180,1.497880e-03,-2.238770e-04,-1.171024e-03,1,0
47,-1.000000,0.198305,1.497880e-03,-2.322199e-04,-1.171024e-03,1,0
100,-0.999510,0.121857,1.497308e-03,-1.426980e-04,-1.171024e-03,1,0
111,-0.997823,0.116705,1.495332e-03,-1.366646e-04,-1.171024e-03,1,0
78,-0.996341,0.109917,1.493596e-03,-1.287157e-04,-1.171024e-03,1,0
138,-0.908292,0.008868,1.367462e-03,-1.128556e-05,-1.272683e-03,0,0
224,-0.880231,-0.018454,1.334943e-03,1.946369e-05,-1.054696e-03,0,0
107,-0.877093,-0.019140,1.331736e-03,1.943329e-05,-1.015327e-03,0,0
132,-0.875945,-0.024322,1.330571e-03,2.469521e-05,-1.015327e-03,1,0
58,-0.875403,-0.019988,1.330020e-03,2.029469e-05,-1.015327e-03,0,0
11,-0.862971,-0.034394,1.318131e-03,3.125829e-05,-9.088429e-04,1,1
137,-0.852388,-0.044279,1.308803e-03,3.760351e-05,-8.492455e-04,1,1
234,-0.835656,-0.046941,1.295234e-03,3.667217e-05,-7.812469e-04,1,1
217,-0.823024,-0.075295,1.285634e-03,5.617976e-05,-7.461279e-04,1,1
240,-0.807987,-0.095738,1.274462e-03,7.131392e-05,-7.448827e-04,1,1
108,-0.799486,-0.090978,1.268096e-03,6.925507e-05,-7.612291e-04,1,1
