neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
134,-1.108573,-0.594359,9.202293e-04,6.666171e-04,-1.121573e-03,1,0
85,-1.094081,-0.579313,9.039759e-04,6.497425e-04,-1.121573e-03,1,0
49,-1.081261,-0.569500,8.895975e-04,6.387358e-04,-1.121573e-03,1,0
10,-1.058086,-0.544078,8.636050e-04,6.102235e-04,-1.121573e-03,1,0
241,-1.040487,-0.526153,8.438669e-04,5.901189e-04,-1.121573e-03,1,0
148,-1.033865,-0.518320,8.364394e-04,5.813339e-04,-1.121573e-03,1,0
193,-1.000055,-0.468397,7.985190e-04,5.253415e-04,-1.121573e-03,1,0
55,-1.000047,-0.384876,7.985095e-04,4.316661e-04,-1.121573e-03,1,0
34,-1.000039,-0.323867,7.985012e-04,3.632408e-04,-1.121573e-03,1,0
13,-1.000027,-0.237160,7.984879e-04,2.659923e-04,-1.121573e-03,1,0
235,-0.861341,0.068135,1.258328e-03,-3.809614e-05,-5.591300e-04,1,1
206,-0.852566,0.364067,1.250456e-03,-4.265822e-04,-1.171713e-03,1,0
102,-0.852461,0.353749,1.250333e-03,-4.144927e-04,-1.171713e-03,1,0
164,-0.852419,0.343878,1.250284e-03,-4.029259e-04,-1.171713e-03,1,0
136,-0.852366,0.343689,1.250222e-03,-4.027053e-04,-1.171713e-03,1,0
12,-0.852228,0.330215,1.250060e-03,-3.869171e-04,-1.171713e-03,1,0
192,-0.852146,0.326213,1.249964e-03,-3.822278e-04,-1.171713e-03,1,0
25,-0.852080,0.323977,1.249887e-03,-3.796076e-04,-1.171713e-03,1,0
150,-0.851994,0.317531,1.249786e-03,-3.720557e-04,-1.171713e-03,1,0
52,-0.799278,0.364378,1.157621e-03,-3.164192e-04,-8.683821e-04,1,1
117,-0.799276,0.366268,1.157619e-03,-3.180608e-04,-8.683821e-04,1,1
114,-0.799238,0.371291,1.157587e-03,-3.224226e-04,-8.683821e-04,1,1
32,-0.799237,0.371349,1.157586e-03,-3.224727e-04,-8.683821e-04,1,1
100,-0.799219,0.364997,1.157570e-03,-3.169570e-04,-8.683821e-04,1,1
