neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
163,-1.639394,-0.550217,7.925919e-04,2.035387e-04,-3.699243e-04,1,1
182,-1.457403,-0.369231,7.252691e-04,1.365876e-04,-3.699243e-04,1,1
240,-1.427650,-0.339359,7.142628e-04,1.255372e-04,-3.699243e-04,1,1
287,-1.318518,-0.229455,6.738922e-04,8.488100e-05,-3.699243e-04,1,1
415,-1.301249,-0.213639,6.675041e-04,7.903036e-05,-3.699243e-04,1,1
136,-1.299231,-0.211671,6.667575e-04,7.830240e-05,-3.699243e-04,1,1
267,-1.262973,-0.176392,6.533446e-04,6.525183e-05,-3.699243e-04,1,1
224,-1.225449,-0.138094,6.394638e-04,5.108422e-05,-3.699243e-04,1,1
278,-1.197756,-0.110020,6.292193e-04,4.069897e-05,-3.699243e-04,1,1
389,-1.124385,-0.038179,6.020775e-04,1.412323e-05,-3.699243e-04,1,1
216,-1.121774,-0.035857,6.011116e-04,1.326434e-05,-3.699243e-04,1,1
391,-1.085054,0.002011,5.875281e-04,-7.438964e-07,-3.699243e-04,0,1
201,-1.000000,0.173952,5.560647e-04,-6.434894e-05,-3.699243e-04,1,1
64,-1.000000,0.176815,5.560647e-04,-6.540829e-05,-3.699243e-04,1,1
299,-1.000000,0.173592,5.560647e-04,-6.421608e-05,-3.699243e-04,1,1
474,-1.000000,0.173367,5.560647e-04,-6.413254e-05,-3.699243e-04,1,1
372,-1.000000,0.172339,5.560647e-04,-6.375227e-05,-3.699243e-04,1,1
106,-1.000000,0.172322,5.560647e-04,-6.374614e-05,-3.699243e-04,1,1
376,-1.000000,0.167254,5.560647e-04,-6.187130e-05,-3.699243e-04,1,1
414,-1.000000,0.165098,5.560647e-04,-6.107393e-05,-3.699243e-04,1,1
361,-1.000000,0.168020,5.560647e-04,-6.215487e-05,-3.699243e-04,1,1
319,-1.000000,0.167396,5.560647e-04,-6.192371e-05,-3.699243e-04,1,1
316,-1.000000,0.146616,5.560647e-04,-5.423692e-05,-3.699243e-04,1,1
220,-1.000000,0.164165,5.560647e-04,-6.072879e-05,-3.699243e-04,1,1
192,-1.000000,0.168400,5.560647e-04,-6.229509e-05,-3.699243e-04,1,1
43,-1.000000,0.165598,5.560647e-04,-6.125862e-05,-3.699243e-04,1,1
46,-1.000000,0.162413,5.560647e-04,-6.008035e-05,-3.699243e-04,1,1
477,-1.000000,0.159535,5.560647e-04,-5.901599e-05,-3.699243e-04,1,1
380,-1.000000,0.156251,5.560647e-04,-5.780093e-05,-3.699243e-04,1,1
160,-1.000000,0.158590,5.560647e-04,-5.866612e-05,-3.699243e-04,1,1
302,-1.000000,0.154633,5.560647e-04,-5.720245e-05,-3.699243e-04,1,1
198,-1.000000,0.151595,5.560647e-04,-5.607875e-05,-3.699243e-04,1,1
442,-1.000000,0.146033,5.560647e-04,-5.402106e-05,-3.699243e-04,1,1
423,-1.000000,0.141875,5.560647e-04,-5.248317e-05,-3.699243e-04,1,1
355,-1.000000,0.141888,5.560647e-04,-5.248765e-05,-3.699243e-04,1,1
325,-1.000000,0.136628,5.560647e-04,-5.054196e-05,-3.699243e-04,1,1
241,-1.000000,0.129962,5.560647e-04,-4.807601e-05,-3.699243e-04,1,1
14,-1.000000,0.111910,5.560647e-04,-4.139819e-05,-3.699243e-04,1,1
243,-1.000000,0.127581,5.560647e-04,-4.719523e-05,-3.699243e-04,1,1
468,-0.999773,0.113850,5.559521e-04,-5.648404e-05,-4.961257e-04,1,1
188,-0.999642,0.112526,5.558871e-04,-5.582721e-05,-4.961257e-04,1,1
6,-0.995412,0.101794,5.537884e-04,-5.050252e-05,-4.961257e-04,1,1
337,-0.995221,0.096379,5.536937e-04,-4.781617e-05,-4.961257e-04,1,1
458,-0.991927,0.088513,5.517453e-04,-5.300478e-05,-5.988357e-04,1,1
225,-0.960822,0.054270,5.268324e-04,-4.921028e-05,-9.067749e-04,1,1
230,-0.907820,0.006940,4.832731e-04,-4.314284e-06,-6.216382e-04,0,1
409,-0.863197,-0.017040,4.655314e-04,2.971057e-06,-1.743567e-04,0,1
324,-0.851742,-0.033085,4.639283e-04,3.421680e-06,-1.034224e-04,1,1
112,-0.851706,-0.025803,4.639247e-04,2.668607e-06,-1.034224e-04,0,1
151,-0.845061,-0.027204,4.633687e-04,2.030672e-06,-7.464637e-05,0,1
36,-0.836163,-0.031692,4.629822e-04,9.407015e-07,-2.968270e-05,1,1
18,-0.833770,-0.041295,4.629241e-04,5.737990e-07,-1.389519e-05,1,1
280,-0.825045,-0.035602,4.628571e-04,6.817105e-08,-1.914831e-06,1,1
92,-0.821338,-0.043301,4.628752e-04,-2.549035e-07,5.886846e-06,1,1
375,-0.811546,-0.045433,4.629684e-04,-4.886220e-07,1.075473e-05,1,1
154,-0.804997,-0.036028,4.630252e-04,-2.790872e-07,7.746306e-06,1,1
60,-0.803132,-0.043100,4.630307e-04,-5.236882e-08,1.215053e-06,1,1
114,-0.795420,-0.039962,4.630031e-04,3.134835e-07,-7.844546e-06,1,1
461,-0.790419,-0.037262,4.629162e-04,7.285251e-07,-1.955160e-05,1,1
45,-0.777364,-0.042218,4.623389e-04,2.883578e-06,-6.830188e-05,1,1
339,-0.771065,-0.039405,4.618366e-04,3.534298e-06,-8.969170e-05,1,1
288,-0.770451,-0.031313,4.617815e-04,2.808513e-06,-8.969170e-05,1,1
96,-0.763928,-0.029713,4.610540e-04,4.121142e-06,-1.386975e-04,1,1
272,-0.763908,-0.021686,4.610512e-04,3.007728e-06,-1.386975e-04,0,1
68,-0.762573,-0.028791,4.608660e-04,3.993210e-06,-1.386975e-04,1,1
261,-0.761759,-0.032481,4.607531e-04,4.505002e-06,-1.386975e-04,1,1
174,-0.759453,-0.028779,4.604334e-04,3.991589e-06,-1.386975e-04,1,1
117,-0.737849,-0.036871,4.559987e-04,9.723360e-06,-2.637161e-04,1,1
186,-0.737591,-0.021233,4.559306e-04,5.599438e-06,-2.637161e-04,0,1
102,-0.730893,-0.027230,4.540744e-04,7.892642e-06,-2.898490e-04,0,1
132,-0.728180,-0.033457,4.532577e-04,1.058305e-05,-3.163196e-04,1,1
143,-0.727404,-0.021361,4.530121e-04,6.756960e-06,-3.163196e-04,0,1
7,-0.725424,-0.015297,4.523860e-04,4.838734e-06,-3.163196e-04,0,1
451,-0.722538,-0.012865,4.514271e-04,4.401780e-06,-3.421437e-04,0,1
40,-0.721614,-0.014706,4.511112e-04,5.031399e-06,-3.421437e-04,0,1
208,-0.719318,-0.016283,4.503257e-04,5.571104e-06,-3.421437e-04,0,1
217,-0.718353,-0.023226,4.499719e-04,8.518943e-06,-3.667913e-04,0,1
498,-0.713324,-0.028278,4.481054e-04,1.101740e-05,-3.896116e-04,1,1
9,-0.704879,-0.012753,4.447235e-04,5.234523e-06,-4.104604e-04,0,1
72,-0.696624,-0.016801,4.411413e-04,7.519779e-06,-4.475745e-04,0,1
71,-0.696299,-0.001520,4.409959e-04,6.803001e-07,-4.475745e-04,0,1
429,-0.693155,-0.033177,4.395709e-04,1.540757e-05,-4.644028e-04,1,1
300,-0.692767,-0.023918,4.393903e-04,1.110754e-05,-4.644028e-04,0,1
24,-0.680532,-0.019317,4.335293e-04,9.517199e-06,-4.926852e-04,0,1
276,-0.677393,-0.011634,4.319612e-04,5.871680e-06,-5.046923e-04,0,1
447,-0.673522,-0.022452,4.300004e-04,1.157112e-05,-5.153759e-04,0,1
12,-0.673046,-0.010722,4.297548e-04,5.525670e-06,-5.153759e-04,0,1
294,-0.667977,-0.009085,4.271320e-04,4.764785e-06,-5.244427e-04,0,1
437,-0.667111,-0.026300,4.266778e-04,1.379307e-05,-5.244427e-04,0,1
175,-0.665479,-0.004198,4.258215e-04,2.201779e-06,-5.244427e-04,0,1
184,-0.662040,-0.014404,4.240029e-04,7.658393e-06,-5.316718e-04,0,1
227,-0.661674,-0.022903,4.238081e-04,1.217704e-05,-5.316718e-04,0,1
358,-0.655762,-0.008608,4.206479e-04,4.619662e-06,-5.366623e-04,0,1
63,-0.655233,-0.023728,4.203644e-04,1.273413e-05,-5.366623e-04,0,1
244,-0.654766,-0.023735,4.201137e-04,1.273766e-05,-5.366623e-04,0,1
126,-0.654258,-0.021615,4.198412e-04,1.159992e-05,-5.366623e-04,0,1
209,-0.653591,0.026402,4.194817e-04,-1.423580e-05,-5.391845e-04,0,1
342,-0.645154,-0.009041,4.149347e-04,4.870168e-06,-5.386614e-04,0,1
439,-0.642039,-0.012008,4.132632e-04,6.431472e-06,-5.356082e-04,0,1
10,-0.641832,-0.016082,4.131522e-04,8.613591e-06,-5.356082e-04,0,1
31,-0.640887,0.007032,4.126459e-04,-3.766410e-06,-5.356082e-04,0,1
197,-0.632331,-0.009851,4.081152e-04,5.143543e-06,-5.221170e-04,0,1
70,-0.608670,-0.007896,3.963417e-04,3.648296e-06,-4.620326e-04,0,1
237,-0.601295,-0.009696,3.929701e-04,4.352486e-06,-4.488826e-04,0,1
196,-0.601294,-0.020373,3.929697e-04,9.144938e-06,-4.488826e-04,0,1
286,-0.598392,-0.013077,3.916747e-04,5.700796e-06,-4.359455e-04,0,1
242,-0.595126,-0.006534,3.902508e-04,2.848592e-06,-4.359455e-04,0,1
194,-0.590808,-0.009871,3.884099e-04,4.174848e-06,-4.229385e-04,0,1
315,-0.580164,-0.011396,3.840689e-04,4.530832e-06,-3.975773e-04,0,1
420,-0.573098,0.008987,3.813369e-04,-3.371838e-06,-3.751899e-04,0,1
475,-0.569122,-0.014057,3.798454e-04,5.273884e-06,-3.751899e-04,0,1
438,-0.568924,-0.028618,3.797708e-04,1.073717e-05,-3.751899e-04,1,1
352,-0.566779,-0.002995,3.789856e-04,1.096439e-06,-3.661066e-04,0,1
221,-0.565944,-0.030191,3.786800e-04,1.105320e-05,-3.661066e-04,1,1
454,-0.561408,-0.016852,3.770405e-04,6.027909e-06,-3.576915e-04,0,1
453,-0.559942,-0.006488,3.765161e-04,2.320829e-06,-3.576915e-04,0,1
172,-0.559724,-0.012299,3.764379e-04,4.399407e-06,-3.576915e-04,0,1
118,-0.549758,-0.000045,3.729803e-04,1.547855e-08,-3.416282e-04,0,1
374,-0.548116,0.010052,3.724250e-04,-3.359680e-06,-3.342222e-04,0,1
436,-0.546701,0.004838,3.719519e-04,-1.616960e-06,-3.342222e-04,0,1
222,-0.545968,-0.004577,3.717069e-04,1.529896e-06,-3.342222e-04,0,1
431,-0.545562,-0.031788,3.715713e-04,1.062428e-05,-3.342222e-04,1,1
86,-0.543438,-0.002270,3.708641e-04,7.438796e-07,-3.277504e-04,0,1
388,-0.541939,-0.001900,3.703728e-04,6.227264e-07,-3.277504e-04,0,1
413,-0.540575,0.001388,3.699257e-04,-4.550151e-07,-3.277504e-04,0,1
5,-0.533311,-0.013636,3.675787e-04,4.329811e-06,-3.175301e-04,0,1
229,-0.531035,-0.004484,3.668560e-04,1.423901e-06,-3.175301e-04,0,1
408,-0.529884,-0.010061,3.664906e-04,3.194708e-06,-3.175301e-04,0,1
35,-0.522743,-0.023365,3.642456e-04,7.292492e-06,-3.121079e-04,0,1
231,-0.520657,-0.008992,3.635946e-04,2.806330e-06,-3.121079e-04,0,1
304,-0.516124,-0.011317,3.621823e-04,3.521433e-06,-3.111577e-04,0,1
8,-0.514993,-0.015793,3.618306e-04,4.914053e-06,-3.111577e-04,0,1
330,-0.513964,-0.011206,3.615104e-04,3.486858e-06,-3.111577e-04,0,1
104,-0.509616,-0.012659,3.601571e-04,3.939851e-06,-3.112180e-04,0,1
350,-0.507022,-0.007922,3.593487e-04,2.470959e-06,-3.118991e-04,0,1
124,-0.502525,-0.005135,3.579444e-04,1.608279e-06,-3.131915e-04,0,1
50,-0.496659,-0.007731,3.561030e-04,2.437584e-06,-3.153092e-04,0,1
