neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
134,-1.416573,-0.538170,2.195739e-03,1.289193e-03,-2.395514e-03,1,0
85,-1.341857,-0.463347,2.016756e-03,1.109954e-03,-2.395514e-03,1,0
49,-1.278099,-0.400231,1.864024e-03,9.587597e-04,-2.395514e-03,1,0
10,-1.162884,-0.284564,1.588024e-03,6.816765e-04,-2.395514e-03,1,0
241,-1.076123,-0.197774,1.380188e-03,4.737709e-04,-2.395514e-03,1,0
148,-1.040798,-0.162214,1.295566e-03,3.885868e-04,-2.395514e-03,1,0
50,-0.879351,0.366685,2.118626e-03,-4.968128e-04,-1.354876e-03,1,0
87,-0.877977,0.441688,2.116764e-03,-5.984321e-04,-1.354876e-03,1,0
193,-0.877946,0.449201,2.116722e-03,-6.086113e-04,-1.354876e-03,1,0
117,-0.877901,0.463466,2.116662e-03,-6.279395e-04,-1.354876e-03,1,0
127,-0.877870,0.470762,2.116620e-03,-6.378242e-04,-1.354876e-03,1,0
112,-0.877815,0.486896,2.116545e-03,-6.596840e-04,-1.354876e-03,1,0
13,-0.877783,0.501462,2.116502e-03,-6.794190e-04,-1.354876e-03,1,0
55,-0.877778,0.502902,2.116495e-03,-6.813702e-04,-1.354876e-03,1,0
118,-0.877754,0.509270,2.116462e-03,-6.899978e-04,-1.354876e-03,1,0
34,-0.877748,0.511033,2.116454e-03,-6.923857e-04,-1.354876e-03,1,0
52,-0.877746,0.512298,2.116451e-03,-6.941006e-04,-1.354876e-03,1,0
235,-0.877741,0.513750,2.116444e-03,-6.960674e-04,-1.354876e-03,1,0
114,-0.877717,0.516305,2.116412e-03,-6.995289e-04,-1.354876e-03,1,0
154,-0.877700,0.521246,2.116389e-03,-7.062241e-04,-1.354876e-03,1,0
175,-0.877698,0.521768,2.116386e-03,-7.069312e-04,-1.354876e-03,1,0
32,-0.877697,0.522080,2.116385e-03,-7.073535e-04,-1.354876e-03,1,0
136,-0.877683,0.524657,2.116366e-03,-7.108454e-04,-1.354876e-03,1,0
25,-0.877667,0.530742,2.116344e-03,-7.190902e-04,-1.354876e-03,1,0
150,-0.877667,0.530832,2.116344e-03,-7.192114e-04,-1.354876e-03,1,0
102,-0.877664,0.528776,2.116340e-03,-7.164254e-04,-1.354876e-03,1,0
192,-0.877663,0.531781,2.116339e-03,-7.204980e-04,-1.354876e-03,1,0
12,-0.877660,0.532590,2.116335e-03,-7.215941e-04,-1.354876e-03,1,0
47,-0.877642,0.536437,2.116311e-03,-7.268052e-04,-1.354876e-03,1,0
206,-0.877637,0.537833,2.116304e-03,-7.286967e-04,-1.354876e-03,1,0
164,-0.877625,0.539819,2.116288e-03,-7.313884e-04,-1.354876e-03,1,0
17,-0.706789,-0.733237,9.181236e-04,1.044755e-03,-1.424853e-03,1,0
100,-0.706665,-0.778551,9.179481e-04,1.109320e-03,-1.424853e-03,1,0
48,-0.706635,-0.789734,9.179048e-04,1.125255e-03,-1.424853e-03,1,0
46,-0.706616,-0.796678,9.178775e-04,1.135148e-03,-1.424853e-03,1,0
111,-0.706565,-0.815203,9.178056e-04,1.161544e-03,-1.424853e-03,1,0
78,-0.706533,-0.827189,9.177592e-04,1.178622e-03,-1.424853e-03,1,0
65,-0.706438,-0.862222,9.176235e-04,1.228540e-03,-1.424853e-03,1,0
171,-0.706416,-0.870001,9.175932e-04,1.239624e-03,-1.424853e-03,1,0
20,-0.706405,-0.874052,9.175775e-04,1.245395e-03,-1.424853e-03,1,0
138,-0.706400,-0.876102,9.175697e-04,1.248317e-03,-1.424853e-03,1,0
107,-0.706373,-0.885896,9.175314e-04,1.262271e-03,-1.424853e-03,1,0
58,-0.706373,-0.886019,9.175308e-04,1.262447e-03,-1.424853e-03,1,0
224,-0.706367,-0.887943,9.175234e-04,1.265187e-03,-1.424853e-03,1,0
234,-0.706364,-0.889034,9.175191e-04,1.266742e-03,-1.424853e-03,1,0
31,-0.706364,-0.889119,9.175189e-04,1.266863e-03,-1.424853e-03,1,0
132,-0.706357,-0.891921,9.175080e-04,1.270856e-03,-1.424853e-03,1,0
11,-0.706352,-0.893836,9.175012e-04,1.273585e-03,-1.424853e-03,1,0
137,-0.706342,-0.897455,9.174871e-04,1.278742e-03,-1.424853e-03,1,0
183,-0.706319,-0.905650,9.174547e-04,1.290418e-03,-1.424853e-03,1,0
217,-0.706304,-0.911394,9.174330e-04,1.298603e-03,-1.424853e-03,1,0
108,-0.706294,-0.914832,9.174191e-04,1.303500e-03,-1.424853e-03,1,0
197,-0.706292,-0.915852,9.174156e-04,1.304955e-03,-1.424853e-03,1,0
240,-0.706272,-0.922922,9.173880e-04,1.315028e-03,-1.424853e-03,1,0
220,-0.500024,1.478661,2.502557e-03,-2.010607e-03,-1.359749e-03,1,0
7,-0.500012,1.473062,2.502541e-03,-2.002994e-03,-1.359749e-03,1,0
215,-0.500012,1.472887,2.502540e-03,-2.002757e-03,-1.359749e-03,1,0
64,-0.499956,1.446682,2.502464e-03,-1.967124e-03,-1.359749e-03,1,0
165,-0.499947,1.442828,2.502452e-03,-1.961883e-03,-1.359749e-03,1,0
205,-0.499937,1.438132,2.502439e-03,-1.955498e-03,-1.359749e-03,1,0
1,-0.499934,1.436617,2.502434e-03,-1.953438e-03,-1.359749e-03,1,0
170,-0.499921,1.430670,2.502417e-03,-1.945352e-03,-1.359749e-03,1,0
239,-0.499920,1.430012,2.502415e-03,-1.944456e-03,-1.359749e-03,1,0
57,-0.499918,1.429073,2.502412e-03,-1.943180e-03,-1.359749e-03,1,0
144,-0.499916,1.428414,2.502410e-03,-1.942284e-03,-1.359749e-03,1,0
146,-0.499904,1.422835,2.502394e-03,-1.934698e-03,-1.359749e-03,1,0
94,-0.499811,1.379046,2.502267e-03,-1.875156e-03,-1.359749e-03,1,0
180,-0.296443,-0.649924,3.216134e-04,8.289857e-04,-1.275511e-03,1,0
82,-0.295688,-0.769929,3.206502e-04,9.820525e-04,-1.275511e-03,1,0
53,-0.295541,-0.790744,3.204623e-04,1.008603e-03,-1.275511e-03,1,0
244,-0.295531,-0.792291,3.204500e-04,1.010576e-03,-1.275511e-03,1,0
84,-0.295500,-0.796701,3.204104e-04,1.016201e-03,-1.275511e-03,1,0
43,-0.295494,-0.797579,3.204026e-04,1.017321e-03,-1.275511e-03,1,0
38,-0.295382,-0.813403,3.202592e-04,1.037505e-03,-1.275511e-03,1,0
120,-0.295372,-0.814739,3.202473e-04,1.039208e-03,-1.275511e-03,1,0
88,-0.295357,-0.817165,3.202274e-04,1.042303e-03,-1.275511e-03,1,0
194,-0.295341,-0.819403,3.202073e-04,1.045158e-03,-1.275511e-03,1,0
143,-0.295317,-0.822849,3.201764e-04,1.049553e-03,-1.275511e-03,1,0
70,-0.295297,-0.825734,3.201505e-04,1.053233e-03,-1.275511e-03,1,0
106,-0.295284,-0.827468,3.201350e-04,1.055445e-03,-1.275511e-03,1,0
199,-0.295264,-0.830384,3.201089e-04,1.059164e-03,-1.275511e-03,1,0
126,-0.295217,-0.837108,3.200486e-04,1.067741e-03,-1.275511e-03,1,0
242,-0.295187,-0.841275,3.200114e-04,1.073055e-03,-1.275511e-03,1,0
26,-0.295182,-0.841956,3.200038e-04,1.073924e-03,-1.275511e-03,1,0
173,-0.295177,-0.842716,3.199984e-04,1.074894e-03,-1.275511e-03,1,0
