b_j,a_j,da_grad,db_grad,active
-1.000000378027337,0.39089931983024934,-6.0338299716585654e-05,-2.1886930081998638e-05,1
-1.9938281622032288,-0.96927303301527,-4.6926689305014525e-06,5.427078029499891e-05,1
-1.0000000676460712,0.6307557452383045,-6.033831709521134e-05,-3.531678412959317e-05,1
-0.9999997915021249,0.7286299059258511,-6.0338294191367384e-05,9.327756494372881e-05,1
-0.7593174422680095,-0.9330771104932282,3.169900790011878e-05,7.28543712069096e-05,1
-0.6525583390667616,-0.6265606815008158,3.779606232239049e-05,3.3635182502960104e-05,1
-0.9969036526638875,0.2351661246905307,-5.9941933447442843e-05,3.010543938697225e-05,1
-0.6888211692804688,-0.1333562551499257,3.819118705746629e-05,-9.513144722857769e-06,1
-0.7168129926155437,0.01714489152286117,3.465995298161588e-05,2.5934550493832694e-06,0
-0.5415387980856018,-0.4273999552068344,2.7769449647569278e-05,3.0648227799069594e-05,1
-1.000000106005824,0.6737803272553845,-6.0338314947401706e-05,-3.772578299616571e-05,1
-1.0000006611858112,0.5534064399233437,-6.0338283862196285e-05,-3.0985902105917916e-05,1
-0.5501356130653687,0.007224137928939822,2.854639846284335e-05,-8.004359898005771e-07,0
-0.6756759494935486,0.5291624571611147,3.878396850160811e-05,6.362906718568351e-06,1
-0.4571533603185415,0.1795653828571639,2.547286741552864e-05,-1.2378365077712445e-05,1
-0.4419642935418091,-0.4859584059438163,2.4444596754907844e-05,2.7489800582950465e-05,1
-0.40457103923087057,0.1306422751092766,2.2346991214973245e-05,-1.1351403864261238e-05,1
-0.3025202064265092,-0.525896311386704,5.62822309602154e-06,2.085199743514939e-06,1
-0.2346346582040943,0.39222766586281066,1.0578869321479412e-05,-5.252925682988446e-06,1
-0.19654323157922454,-0.06737928811933615,6.2376077174543994e-06,1.0278618916147428e-05,1
-0.1993032216472548,-0.13477080612617762,6.661780179252984e-06,2.0882549542124118e-05,1
-0.13968111987006027,-0.37859855584665036,5.617988821198222e-07,2.715129574001873e-06,1
-0.09950052157064544,0.5733551154256104,1.7017831747207155e-06,-2.2634881505362036e-06,1
-0.08403389603528097,-0.11468122179669439,1.1752493648219005e-06,5.481173932669137e-06,1
-0.07207422596265417,-0.25156593626015716,6.67919463751451e-07,6.588181626959639e-06,1
-0.03864157111432635,-0.21473594014348757,1.022642176489158e-06,-9.937748714276151e-06,1
-0.02676158558976714,0.22322898258674356,1.7004657608345049e-06,1.3072575053409216e-05,1
0.11442704368735297,0.13254206417389844,4.971912075188441e-06,-4.923921289166652e-06,1
0.12696140217890042,0.15681206209149004,4.363338867536219e-06,-9.429384621861611e-06,1
0.1348709773117865,0.16636793541607708,3.732716307990739e-06,-1.5705210650497957e-05,1
0.2405524910486415,1.0294955987612884,-2.3592569608952195e-06,2.763840288452034e-07,1
0.1159205566282174,-0.25225392933469154,4.916428254176654e-06,9.371202272037882e-06,1
0.22908289548762958,-0.28954641375213613,-2.7621012707717033e-06,-1.5932566875979913e-05,1
0.21251009272810908,-0.4402754630561046,-3.5454935631348987e-06,-4.0576917755552365e-06,1
0.3294037695984688,0.2845981996433418,-5.968216628251809e-06,1.5071667007913292e-05,1
0.353769258995516,0.5412006113575905,-5.285821096342018e-06,-8.684882782816713e-06,1
0.32818142712606246,-0.08033254113662126,-6.0338609649751046e-06,-4.779817875566456e-06,1
0.29392305417374187,-0.4432778884907866,-7.090234712962873e-06,1.267386863853616e-05,1
0.37139051071138524,-0.43345953145956506,-5.633960644147647e-06,4.883009904735044e-06,1
0.4302423241522999,0.3051468040258125,-2.5722353749497343e-06,1.4921212515399157e-05,1
0.47190175321753103,0.35368658799971336,-1.7866943675176061e-06,-3.565362245876484e-07,1
0.5119258799123156,0.26001616763857915,-4.187776643122936e-06,-3.2022405833846413e-05,1
0.46379705810195065,-0.3401480807015759,-1.8210090407264783e-06,-2.621665491906274e-06,1
0.5977253649596316,0.13319337934982795,-1.9857583979011785e-05,-2.659743037830806e-05,1
0.5862594984392996,0.07471906544430139,-1.7608944092320707e-05,-1.4354079402847556e-05,1
0.6088554966249334,0.1299251334436488,-2.213326271450275e-05,-2.6799739283371376e-05,1
0.7341535182110324,0.4781192821136093,-3.0190131155183926e-05,-3.445003442645052e-05,1
0.7358335999987454,0.16219329191349544,-3.0374818112459946e-05,-1.8577255559137327e-05,1
0.8257506205229866,0.4012800967101382,-4.8483296251769545e-05,-6.435638856937293e-05,1
0.9001668263023205,0.06985042610766024,-4.529957997849168e-05,2.465796409044001e-05,1
