neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
78,-1.041926,1.236271,-3.651075e-04,5.827142e-04,4.713482e-04,1,1
75,-1.037143,1.233548,-3.628532e-04,5.814308e-04,4.713482e-04,1,1
41,-1.000078,1.152266,-3.453826e-04,5.431185e-04,4.713482e-04,1,1
15,-1.000062,0.915271,-3.453748e-04,4.314113e-04,4.713482e-04,1,1
34,-0.824351,-0.530082,-5.739989e-04,-2.767458e-04,5.220812e-04,1,1
60,-0.823456,-0.552332,-5.735319e-04,-2.883623e-04,5.220812e-04,1,1
71,-0.820724,-0.504535,-5.721053e-04,-2.634083e-04,5.220812e-04,1,1
92,-0.819971,-0.555814,-5.717120e-04,-2.901801e-04,5.220812e-04,1,1
76,-0.811693,-0.555997,-5.676466e-04,-2.648106e-04,4.762804e-04,1,1
18,-0.794425,-0.413424,-5.597098e-04,-1.873009e-04,4.530484e-04,1,1
38,-0.778171,-0.297963,-5.522767e-04,-1.373674e-04,4.610216e-04,1,1
2,-0.768415,-0.563790,-5.478117e-04,-2.520227e-04,4.470153e-04,1,1
51,-0.763324,-0.570434,-5.455477e-04,-2.489572e-04,4.364346e-04,1,1
22,-0.740850,-0.572308,-5.356212e-04,-2.585453e-04,4.517591e-04,1,1
49,-0.723606,-0.590106,-5.278059e-04,-2.622211e-04,4.443628e-04,1,1
72,-0.719577,-0.565285,-5.260158e-04,-2.511914e-04,4.443628e-04,1,1
45,-0.692721,-0.561267,-5.140263e-04,-2.560460e-04,4.561925e-04,1,1
79,-0.678580,-0.585571,-5.077018e-04,-2.480279e-04,4.235659e-04,1,1
37,-0.677568,-0.561575,-5.072733e-04,-2.378640e-04,4.235659e-04,1,1
1,-0.639775,-0.430525,-4.904938e-04,-2.035779e-04,4.728601e-04,1,1
83,-0.633961,-0.430050,-4.878021e-04,-1.915135e-04,4.453290e-04,1,1
43,-0.621198,-0.409788,-4.822947e-04,-1.685971e-04,4.114247e-04,1,1
28,-0.605572,-0.322410,-4.763590e-04,-1.136236e-04,3.524194e-04,1,1
85,-0.605256,-0.320917,-4.762477e-04,-1.130972e-04,3.524194e-04,1,1
95,-0.601215,-0.293266,-4.748841e-04,-9.699946e-05,3.307558e-04,1,1
21,-0.598405,-0.258306,-4.739611e-04,-8.268751e-05,3.201144e-04,1,1
25,-0.475944,0.005151,-3.711410e-04,5.529967e-06,1.073486e-03,0,0
59,-0.401217,0.211466,-3.238047e-04,6.372140e-05,3.013316e-04,1,1
11,-0.397429,0.264570,-3.226457e-04,8.411120e-05,3.179165e-04,1,1
54,-0.395385,0.412003,-3.219959e-04,1.309825e-04,3.179165e-04,1,1
94,-0.392333,0.410250,-3.209965e-04,1.407223e-04,3.430157e-04,1,1
19,-0.377420,0.457710,-3.155260e-04,1.826555e-04,3.990639e-04,1,1
14,-0.363288,0.478318,-3.097280e-04,2.031012e-04,4.246152e-04,1,1
13,-0.341491,0.529761,-3.006783e-04,2.115247e-04,3.992835e-04,1,1
36,-0.315593,0.598781,-2.907727e-04,2.288235e-04,3.821490e-04,1,1
5,-0.315091,0.596548,-2.905808e-04,2.279704e-04,3.821490e-04,1,1
86,-0.293716,0.612678,-2.821626e-04,2.400490e-04,3.918028e-04,1,1
64,-0.272149,0.622690,-2.739699e-04,2.316292e-04,3.719816e-04,1,1
50,-0.262511,0.618830,-2.703645e-04,2.353332e-04,3.802872e-04,1,1
3,-0.238270,0.629257,-2.612380e-04,2.366762e-04,3.761201e-04,1,1
65,-0.235799,0.635691,-2.602745e-04,2.485735e-04,3.910287e-04,1,1
8,-0.210306,0.624501,-2.504024e-04,2.322351e-04,3.718730e-04,1,1
30,-0.190789,0.625693,-2.432422e-04,2.313645e-04,3.697731e-04,1,1
93,-0.184020,0.628557,-2.406995e-04,2.387461e-04,3.798318e-04,1,1
47,-0.157787,0.645358,-2.307933e-04,2.371756e-04,3.675101e-04,1,1
97,-0.140211,0.636293,-2.243706e-04,2.320555e-04,3.646991e-04,1,1
23,-0.111737,0.356938,-2.141019e-04,1.326185e-04,3.715450e-04,1,1
12,-0.109331,0.364330,-2.132080e-04,1.353651e-04,3.715450e-04,1,1
17,-0.105263,0.305947,-2.116578e-04,1.184079e-04,3.870208e-04,1,1
0,-0.082328,0.627072,-2.026110e-04,2.439074e-04,3.889626e-04,1,1
6,-0.017131,0.021838,-1.902036e-04,-9.593968e-07,-4.393311e-05,0,1
42,0.075387,-0.104631,-1.805745e-04,-4.257993e-05,4.069552e-04,1,1
33,0.092399,-0.358281,-1.734751e-04,-1.480953e-04,4.133498e-04,1,1
80,0.096896,-0.381806,-1.717176e-04,-1.485214e-04,3.889968e-04,1,1
58,0.101285,-0.294241,-1.701225e-04,-1.051262e-04,3.572794e-04,1,1
57,0.104594,-0.398567,-1.689986e-04,-1.297227e-04,3.254726e-04,1,1
91,0.123600,-0.405311,-1.633904e-04,-1.107991e-04,2.733685e-04,1,1
39,0.147852,-0.442646,-1.564968e-04,-1.320046e-04,2.982168e-04,1,1
74,0.160779,-0.482566,-1.526010e-04,-1.459959e-04,3.025409e-04,1,1
16,0.172946,-0.466804,-1.489393e-04,-1.383653e-04,2.964099e-04,1,1
63,0.184956,-0.473676,-1.453797e-04,-1.402595e-04,2.961088e-04,1,1
99,0.200654,-0.462306,-1.406724e-04,-1.404346e-04,3.037694e-04,1,1
32,0.214508,-0.459750,-1.364696e-04,-1.374181e-04,2.988974e-04,1,1
44,0.227163,-0.473657,-1.327884e-04,-1.337432e-04,2.823628e-04,1,1
31,0.227934,-0.440841,-1.325708e-04,-1.244770e-04,2.823628e-04,1,1
70,0.244165,-0.455690,-1.282990e-04,-1.188621e-04,2.608399e-04,1,1
88,0.258163,-0.463800,-1.245808e-04,-1.263363e-04,2.723937e-04,1,1
82,0.275629,-0.443664,-1.197337e-04,-1.237369e-04,2.788981e-04,1,1
90,0.278620,-0.455780,-1.189032e-04,-1.232309e-04,2.703738e-04,1,1
77,0.295752,-0.457608,-1.143401e-04,-1.188901e-04,2.598080e-04,1,1
55,0.302467,-0.446757,-1.126290e-04,-1.125320e-04,2.518866e-04,1,1
26,0.314602,-0.462467,-1.096788e-04,-1.106887e-04,2.393440e-04,1,1
40,0.330672,-0.439587,-1.057615e-04,-1.098523e-04,2.498986e-04,1,1
46,0.345313,-0.440735,-1.020318e-04,-1.137895e-04,2.581813e-04,1,1
81,0.355898,-0.429956,-9.930121e-05,-1.107152e-04,2.575038e-04,1,1
87,0.376043,-0.267905,-9.407360e-05,-6.919179e-05,2.582696e-04,1,1
7,0.386361,-0.409059,-9.152022e-05,-9.622117e-05,2.352256e-04,1,1
66,0.399926,-0.370408,-8.870283e-05,-6.390873e-05,1.725359e-04,1,1
29,0.401294,-0.367909,-8.846685e-05,-6.347749e-05,1.725359e-04,1,1
84,0.406104,-0.415786,-8.769207e-05,-6.290605e-05,1.512943e-04,1,1
27,0.573796,0.131002,-3.491073e-06,2.929415e-05,2.236158e-04,1,1
56,0.594407,0.671186,-3.879417e-07,8.598192e-05,1.281044e-04,1,1
69,0.605144,0.505687,1.026958e-06,7.123158e-05,1.408610e-04,1,1
35,0.629695,0.690696,4.574483e-06,1.070943e-04,1.550526e-04,1,1
89,0.650310,0.717771,7.830150e-06,1.165520e-04,1.623806e-04,1,1
53,0.672915,0.715439,1.126012e-05,9.822771e-05,1.372972e-04,1,1
68,0.703903,0.705725,1.470543e-05,7.249806e-05,1.027284e-04,1,1
98,0.705928,0.697321,1.495209e-05,8.779542e-05,1.259039e-04,1,1
61,0.726088,0.689495,1.781950e-05,1.030243e-04,1.494200e-04,1,1
67,0.751922,0.705366,2.113953e-05,7.623192e-05,1.080742e-04,1,1
73,0.763618,0.710903,2.242546e-05,7.916328e-05,1.113560e-04,1,1
20,0.787069,0.698898,2.493320e-05,7.070822e-05,1.011710e-04,1,1
62,0.796725,0.677610,2.595671e-05,7.484165e-05,1.104494e-04,1,1
52,0.826527,0.635634,2.853761e-05,4.180247e-05,6.576503e-05,1,1
9,0.841727,0.397352,2.971694e-05,3.881633e-05,9.768746e-05,1,1
10,0.841944,0.441952,2.973819e-05,4.317317e-05,9.768746e-05,1,1
96,0.852074,0.370439,3.086879e-05,4.564209e-05,1.232108e-04,1,1
48,0.880821,0.618624,3.421432e-05,6.865019e-05,1.109724e-04,1,1
4,0.881551,0.580440,3.429528e-05,6.441281e-05,1.109724e-04,1,1
24,0.896969,0.112468,3.571042e-05,5.668288e-06,5.039890e-05,1,1
