b_j,a_j,da_grad,db_grad,active
-0.9349957666802159,0.15471073747210226,6.063647571932235e-05,-0.0005077015966579064,1
-1.0539094908772482,-0.5301654898200643,0.0001961279802155556,-0.0003448167337959177,1
-0.8823401820019161,0.3910697162346584,-3.724523659037067e-05,-0.0001687415172883432,1
-0.87071355234912,0.4898038606048296,-3.984104955671428e-05,-3.4669415404794814e-05,1
-1.0999103416121165,-0.9879690880246791,0.00016620927858973996,-0.0006425696892108587,1
-1.0625804514741586,-0.6614031437108596,0.00019048843488620118,-0.00043017298582398125,1
-0.958222617456222,0.06421336623219774,0.00014015889098451027,-0.00022193609210904847,0
-0.999999989484479,-0.16422122230776354,0.00023119041557670604,3.9689192321354784e-05,1
-0.9783853663306934,-0.01031116999218793,0.0002020969902466527,2.6535146805556714e-05,0
-1.0214214899793082,-0.43362680364308537,0.00021725799824254732,-0.00028202850051465905,1
-0.8650722013776515,0.4634275441085611,-3.967696181538302e-05,2.3932405552390956e-05,1
-0.8696741804927383,0.41195002623458604,-3.991461801844203e-05,2.1273994652451383e-05,1
-0.9457797883612311,0.03976629577809205,9.683680515138655e-05,-0.0001384295013537902,0
-0.8541281077226062,0.5901833309761082,-3.768215503381261e-05,0.00016135149250696694,1
-0.8844920486913767,0.25495677440810394,-3.63167339855723e-05,-0.0001100105458709321,1
-0.9999999142008241,-0.4339000524266865,0.00023119039738205723,0.00010486551242892895,1
-0.8860193604032576,0.2070239398915728,-3.5363566524183766e-05,-0.00013590006864472122,1
-0.9999999608814454,-0.48277071519944853,0.00023119040866388928,0.00011667663590251504,1
-0.8563987154184559,0.4672482588628309,-3.8208480379069745e-05,0.00010269985039890243,1
-0.9409745205067322,-0.012186478498015215,8.03974554773745e-05,4.151879129975425e-05,0
-0.9580071824131079,-0.08115271997402357,0.00013941429816252367,0.0002804823760512311,1
-0.9958362864263096,-0.3393616207201507,0.00023018412656531991,8.201734490811894e-05,1
-0.8405382911772437,0.643182628692925,-3.34675684462485e-05,0.0002201847069986912,1
-0.9399711698977822,-0.060641868250733866,7.697908449019595e-05,0.00020660415331135056,0
-0.9855405260315739,-0.20684122280781034,0.00021781059802854813,0.000335463469031879,1
