neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
6,-2.482813,1.198069,-3.880997e-03,1.659384e-03,1.385049e-03,1,0
32,-1.522859,0.239304,-2.551414e-03,3.314476e-04,1.385049e-03,1,0
34,-1.451221,0.168560,-2.452191e-03,2.334640e-04,1.385049e-03,1,0
5,-0.999997,-0.427694,-1.827223e-03,-6.402012e-04,1.496866e-03,1,0
17,-0.999996,-0.489582,-1.827222e-03,-7.328383e-04,1.496866e-03,1,0
0,-0.999996,-0.530451,-1.827222e-03,-7.940140e-04,1.496866e-03,1,0
2,-0.999995,-0.509442,-1.827221e-03,-7.625658e-04,1.496866e-03,1,0
13,-0.999995,-0.568062,-1.827221e-03,-8.503129e-04,1.496866e-03,1,0
11,-0.999995,-0.523389,-1.827221e-03,-7.834439e-04,1.496866e-03,1,0
43,-0.999995,-0.525597,-1.827221e-03,-7.867486e-04,1.496866e-03,1,0
45,-0.999995,-0.525499,-1.827221e-03,-7.866012e-04,1.496866e-03,1,0
24,-0.999995,-0.552190,-1.827221e-03,-8.265539e-04,1.496866e-03,1,0
33,-0.999994,-0.557297,-1.827220e-03,-8.341984e-04,1.496866e-03,1,0
42,-0.995343,-0.185243,-1.820257e-03,-2.772836e-04,1.496866e-03,1,0
39,-0.731819,0.247690,-1.354736e-03,2.180376e-04,8.802859e-04,1,1
44,-0.724486,0.360467,-1.348191e-03,3.240444e-04,8.989583e-04,1,1
18,-0.654608,0.386002,-1.277239e-03,4.375424e-04,1.133525e-03,1,0
36,-0.622074,0.399306,-1.236743e-03,5.335696e-04,1.336243e-03,1,0
19,-0.532082,0.383494,-1.117764e-03,4.787238e-04,1.248321e-03,1,0
16,-0.488569,0.391384,-1.063111e-03,4.975485e-04,1.271253e-03,1,0
12,-0.415825,0.415794,-9.747030e-04,4.789472e-04,1.151885e-03,1,0
40,-0.330496,0.391869,-8.816564e-04,4.245488e-04,1.083395e-03,1,0
31,-0.284987,0.382851,-8.283667e-04,4.805260e-04,1.255126e-03,1,0
23,-0.190590,0.216591,-7.113810e-04,2.428583e-04,1.121276e-03,1,0
29,-0.125533,0.142046,-6.446823e-04,1.308501e-04,9.211800e-04,1,1
37,0.006139,0.010988,-5.491086e-04,6.805032e-06,6.193310e-04,0,1
30,0.051367,-0.023863,-5.191731e-04,-1.710532e-05,7.168110e-04,0,1
27,0.146360,-0.116422,-4.315302e-04,-1.293168e-04,1.110762e-03,1,0
15,0.229265,-0.189483,-3.359295e-04,-1.996397e-04,1.053602e-03,1,0
48,0.253993,-0.183919,-3.120901e-04,-1.537162e-04,8.357803e-04,1,1
35,0.265496,-0.201305,-3.029707e-04,-1.476494e-04,7.334628e-04,1,1
21,0.266824,-0.191403,-3.019967e-04,-1.403867e-04,7.334628e-04,1,1
8,0.374432,-0.202112,-2.361720e-04,-1.365159e-04,6.754477e-04,1,1
25,0.389991,-0.194243,-2.257318e-04,-1.287830e-04,6.629983e-04,1,1
9,0.430132,-0.184482,-1.994997e-04,-1.178488e-04,6.388103e-04,1,1
20,0.434290,-0.174863,-1.968486e-04,-1.104315e-04,6.315330e-04,1,1
41,0.498528,-0.179886,-1.545663e-04,-1.233335e-04,6.856214e-04,1,1
26,0.514467,-0.191943,-1.439066e-04,-1.241920e-04,6.470241e-04,1,1
28,0.557996,-0.185892,-1.181855e-04,-9.561340e-05,5.143484e-04,1,1
10,0.559976,-0.184574,-1.172005e-04,-8.918785e-05,4.832087e-04,1,1
4,0.565400,-0.182555,-1.146227e-04,-8.291657e-05,4.541996e-04,1,1
1,0.639687,-0.185561,-8.508574e-05,-6.783930e-05,3.655908e-04,1,1
47,0.652408,-0.173804,-8.060379e-05,-5.836855e-05,3.358307e-04,1,1
7,0.666624,-0.176412,-7.617943e-05,-5.122649e-05,2.903796e-04,1,1
14,0.727409,-0.183459,-6.076521e-05,-3.914029e-05,2.133462e-04,1,1
49,0.738788,-0.177991,-5.857156e-05,-3.195516e-05,1.795328e-04,1,1
22,0.764950,-0.144448,-5.504014e-05,-1.438161e-05,9.956251e-05,1,1
38,0.790386,-0.138130,-5.282569e-05,-1.079561e-05,7.815524e-05,1,1
46,0.832272,-0.097020,-4.841005e-05,-1.475705e-05,1.521029e-04,1,1
3,0.977999,0.010713,-2.612403e-06,2.219430e-06,2.071679e-04,0,1
