b_j,a_j,da_grad,db_grad,active
-1.0120893693360307,0.17282127059758182,-1.197290380287902e-05,-2.3000030003109362e-05,1
-0.9481735264222152,-0.5026711197492216,1.0523015156889069e-06,-8.625471774613105e-05,1
-1.0284551442026082,0.39628445124167366,-9.794854123844471e-06,-5.2739771191404245e-05,1
-1.0294061514773871,0.4911243979147938,-9.668288708734055e-06,-6.536160652123647e-05,1
-0.9145015045657202,-0.9605621449736126,3.472294150141774e-06,-1.3291397787856117e-05,1
-0.9317501435637128,-0.6352103935093502,2.887082233807772e-06,-4.1169822955863535e-05,1
-0.9925393210170802,0.08291335092284728,-1.2808331897526565e-05,1.6302555450801816e-05,0
-0.9629756333174463,-0.14104287532755994,-2.740193103985806e-06,-4.5547480809421746e-05,1
-0.976605772709609,0.009293040964409544,-7.748124598521927e-06,3.5765931300339656e-06,0
-0.9352171631058169,-0.411208707924896,2.65355331774471e-06,-3.6195690929773784e-05,1
-1.0038136490019536,0.45863825174115247,-1.3074283368732995e-05,-6.103816685379544e-05,1
-0.9996028512638521,0.407331716309164,-1.3558679125087495e-05,2.373964801998396e-05,1
-0.9681072707238252,0.049587514160435366,-4.519381893497257e-06,1.790712875080234e-05,0
-1.0053995893303043,0.5823100765405472,-1.2863217479626623e-05,-7.749711123656613e-05,1
-0.9832567945101693,0.2508529077431835,-1.0214679566268476e-05,8.947461799473963e-05,1
-0.9229349583487133,-0.41563872496630755,3.2703934068265835e-06,-1.1234665982940062e-05,1
-0.9771267372431667,0.20106473639629013,-7.948627122814029e-06,7.738336219986231e-05,1
-0.9175645029754055,-0.4658059833437475,3.405618163556972e-06,-1.0519451157943573e-05,1
-0.9947649699153445,0.4567513585549957,-1.3245942537720321e-05,8.980718143934078e-05,1
-0.950003524199005,-0.009905539607763796,7.315328878575037e-07,-2.2190150584300167e-06,0
-0.939815194328173,-0.07804262842501827,2.248822304508962e-06,-6.869521008137474e-06,0
-0.9212038842548644,-0.3269260948197667,3.3171841365346546e-06,-8.836773995745469e-06,1
-0.9998290758672717,0.6288922241340975,-1.3571863692464898e-05,3.6652387834481165e-05,1
-0.9328286744690517,-0.06356712607413881,2.8171795261712416e-06,-4.119969309423507e-06,0
-0.9204448283228911,-0.20107866172273045,3.337701329341418e-06,-5.435132640575285e-06,1
-0.9230542206464343,-0.16288727602517697,3.2671697609082923e-06,-4.402823964879995e-06,1
-0.9572133392529464,0.2805422046796885,-1.0049404346103453e-06,7.748157734560955e-05,1
-0.9475551770285354,0.19667404439785716,1.1584057861053474e-06,3.374783933477309e-05,1
-0.9497775118693379,0.22041001178562486,7.770692483578996e-07,3.782075915655373e-05,1
-0.9490320490428881,0.22935480273434358,9.049852617498855e-07,3.935562039736819e-05,1
-1.0050335254798533,1.0880226301276472,-1.2911935322715604e-05,-0.00014480019184251962,1
-0.9097379270246791,-0.1910219545066693,3.5376602794375616e-06,2.2397022064990423e-07,1
-0.9047620782773043,-0.24422299440569004,3.531826175474298e-06,2.863475985579081e-07,1
-0.8979240515219346,-0.39526499912500185,3.358014044491605e-06,1.6374066318832004e-05,1
-0.9422026464260105,0.32107563079898105,1.9522664096954356e-06,4.0052241521718575e-05,1
-0.9677527756909629,0.5784187462560126,-4.391366035020447e-06,0.00020887957657188494,1
-0.9069387154881777,-0.045309307309275,3.534378248180483e-06,5.312444625415209e-08,0
