neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
78,-2.040328,0.812900,-1.663705e-03,5.728844e-04,7.047418e-04,1,1
75,-2.021822,0.794983,-1.650663e-03,5.602580e-04,7.047418e-04,1,1
41,-1.713514,0.487126,-1.433385e-03,3.432982e-04,7.047418e-04,1,1
15,-1.032996,-0.190019,-9.537958e-04,-1.339140e-04,7.047418e-04,1,1
37,-1.000203,-0.302778,-9.306850e-04,-2.133801e-04,7.047418e-04,1,1
45,-1.000187,-0.324243,-9.306737e-04,-2.285075e-04,7.047418e-04,1,1
38,-1.000183,-0.329416,-9.306711e-04,-2.321532e-04,7.047418e-04,1,1
72,-1.000165,-0.354774,-9.306585e-04,-2.500239e-04,7.047418e-04,1,1
18,-1.000149,-0.381215,-9.306470e-04,-2.686584e-04,7.047418e-04,1,1
22,-1.000142,-0.393245,-9.306421e-04,-2.771361e-04,7.047418e-04,1,1
79,-1.000141,-0.395248,-9.306413e-04,-2.785478e-04,7.047418e-04,1,1
71,-1.000133,-0.410327,-9.306355e-04,-2.891747e-04,7.047418e-04,1,1
2,-1.000129,-0.417912,-9.306326e-04,-2.945199e-04,7.047418e-04,1,1
34,-1.000127,-0.421771,-9.306312e-04,-2.972399e-04,7.047418e-04,1,1
49,-1.000121,-0.431738,-9.306275e-04,-3.042636e-04,7.047418e-04,1,1
76,-1.000121,-0.431720,-9.306275e-04,-3.042508e-04,7.047418e-04,1,1
51,-1.000120,-0.434210,-9.306267e-04,-3.060059e-04,7.047418e-04,1,1
60,-1.000119,-0.437223,-9.306256e-04,-3.081295e-04,7.047418e-04,1,1
92,-1.000117,-0.439752,-9.306247e-04,-3.099115e-04,7.047418e-04,1,1
1,-0.840619,0.160454,-8.178000e-04,1.020685e-04,6.361243e-04,1,1
83,-0.815665,0.152246,-8.013501e-04,1.037262e-04,6.813082e-04,1,1
43,-0.792465,0.151748,-7.852368e-04,1.071433e-04,7.060591e-04,1,1
85,-0.735145,0.130333,-7.455694e-04,8.745569e-05,6.710150e-04,1,1
28,-0.729300,0.128388,-7.416475e-04,8.615032e-05,6.710150e-04,1,1
21,-0.702472,0.127730,-7.235828e-04,8.561788e-05,6.703048e-04,1,1
59,-0.662174,0.138570,-6.968132e-04,9.253571e-05,6.677887e-04,1,1
25,-0.662135,0.128967,-6.967872e-04,8.612258e-05,6.677887e-04,1,1
95,-0.653078,0.112660,-6.906681e-04,7.676097e-05,6.813535e-04,1,1
11,-0.612055,0.132026,-6.629830e-04,8.718980e-05,6.603984e-04,1,1
54,-0.593754,0.153915,-6.509453e-04,1.010586e-04,6.565867e-04,1,1
94,-0.574082,0.142934,-6.380349e-04,9.377881e-05,6.560980e-04,1,1
19,-0.547240,0.137583,-6.204990e-04,8.993906e-05,6.537060e-04,1,1
14,-0.534670,0.135935,-6.122751e-04,8.914119e-05,6.557611e-04,1,1
13,-0.511662,0.132823,-5.972488e-04,8.624619e-05,6.493334e-04,1,1
