neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
163,-1.022725,-0.170710,5.573376e-04,6.681119e-05,-3.913734e-04,1,1
182,-1.004492,-0.163575,5.502018e-04,6.401898e-05,-3.913734e-04,1,1
240,-1.003056,-0.160449,5.496399e-04,6.279531e-05,-3.913734e-04,1,1
243,-1.000001,-0.118718,5.484443e-04,4.646303e-05,-3.913734e-04,1,1
355,-1.000001,-0.118155,5.484443e-04,4.624284e-05,-3.913734e-04,1,1
316,-1.000001,-0.111560,5.484443e-04,4.366157e-05,-3.913734e-04,1,1
198,-1.000001,-0.108635,5.484443e-04,4.251691e-05,-3.913734e-04,1,1
220,-1.000001,-0.096213,5.484443e-04,3.765514e-05,-3.913734e-04,1,1
361,-1.000001,-0.091436,5.484442e-04,3.578570e-05,-3.913734e-04,1,1
414,-1.000001,-0.088701,5.484442e-04,3.471540e-05,-3.913734e-04,1,1
106,-1.000001,-0.086529,5.484442e-04,3.386518e-05,-3.913734e-04,1,1
391,-1.000001,-0.133518,5.484441e-04,5.225543e-05,-3.913734e-04,1,1
389,-1.000001,-0.142179,5.484440e-04,5.564513e-05,-3.913734e-04,1,1
216,-1.000001,-0.143090,5.484440e-04,5.600148e-05,-3.913734e-04,1,1
278,-1.000001,-0.143262,5.484440e-04,5.606877e-05,-3.913734e-04,1,1
287,-1.000000,-0.146775,5.484440e-04,5.744367e-05,-3.913734e-04,1,1
224,-1.000000,-0.148029,5.484440e-04,5.793452e-05,-3.913734e-04,1,1
415,-1.000000,-0.153907,5.484440e-04,6.023523e-05,-3.913734e-04,1,1
136,-1.000000,-0.154011,5.484440e-04,6.027572e-05,-3.913734e-04,1,1
267,-1.000000,-0.155849,5.484439e-04,6.099517e-05,-3.913734e-04,1,1
372,-0.999799,-0.083954,5.483703e-04,3.070853e-05,-3.657796e-04,1,1
442,-0.996383,-0.079145,5.471210e-04,2.894948e-05,-3.657796e-04,1,1
299,-0.993422,-0.062992,5.460619e-04,2.206772e-05,-3.503248e-04,1,1
160,-0.992017,-0.065866,5.455696e-04,2.307467e-05,-3.503248e-04,1,1
43,-0.991571,-0.062970,5.454137e-04,2.205996e-05,-3.503248e-04,1,1
319,-0.990191,-0.060263,5.449299e-04,2.111169e-05,-3.503248e-04,1,1
46,-0.916887,-0.000821,5.195762e-04,3.228628e-07,-3.930651e-04,0,1
380,-0.913795,-0.001275,5.183516e-04,5.128534e-07,-4.022607e-04,0,1
201,-0.893117,0.020874,5.097614e-04,-8.935344e-06,-4.280706e-04,1,1
192,-0.892270,0.018663,5.093986e-04,-7.988976e-06,-4.280706e-04,1,1
64,-0.889323,0.025301,5.081363e-04,-1.089164e-05,-4.304884e-04,1,1
325,-0.879953,0.012060,5.040961e-04,-5.207724e-06,-4.318169e-04,1,1
477,-0.870123,0.028893,4.998609e-04,-1.242145e-05,-4.299124e-04,1,1
14,-0.868021,0.010237,4.989635e-04,-4.361925e-06,-4.260967e-04,1,1
376,-0.867330,0.035213,4.986689e-04,-1.500400e-05,-4.260967e-04,1,1
474,-0.858468,0.044676,4.949318e-04,-1.852900e-05,-4.147408e-04,1,1
302,-0.855000,0.035832,4.934933e-04,-1.486097e-05,-4.147408e-04,1,1
188,-0.851388,0.020338,4.920188e-04,-8.289447e-06,-4.075793e-04,1,1
241,-0.849702,0.027675,4.913313e-04,-1.127958e-05,-4.075793e-04,1,1
468,-0.846928,0.023751,4.902205e-04,-9.507403e-06,-4.003018e-04,1,1
423,-0.840511,0.039134,4.876790e-04,-1.540464e-05,-3.936342e-04,1,1
458,-0.836261,0.023939,4.860265e-04,-9.276098e-06,-3.874934e-04,1,1
337,-0.835814,0.026246,4.858532e-04,-1.017004e-05,-3.874934e-04,1,1
230,-0.817976,0.022123,4.790915e-04,-8.251757e-06,-3.729974e-04,1,1
6,-0.815037,0.045319,4.779953e-04,-1.690400e-05,-3.729974e-04,1,1
225,-0.808766,0.040099,4.756750e-04,-1.473936e-05,-3.675785e-04,1,1
324,-0.801630,0.018757,4.730575e-04,-6.858823e-06,-3.656730e-04,1,1
409,-0.793829,0.033634,4.702154e-04,-1.217779e-05,-3.620728e-04,1,1
112,-0.792925,0.029076,4.698882e-04,-1.052763e-05,-3.620728e-04,1,1
18,-0.789334,0.019234,4.685883e-04,-6.931986e-06,-3.604060e-04,1,1
151,-0.787175,0.031735,4.678102e-04,-1.143742e-05,-3.604060e-04,1,1
36,-0.783606,0.030219,4.665246e-04,-1.086290e-05,-3.594677e-04,1,1
92,-0.778207,0.020962,4.645838e-04,-7.535660e-06,-3.594879e-04,1,1
280,-0.776858,0.029087,4.640990e-04,-1.045629e-05,-3.594879e-04,1,1
375,-0.770418,0.020073,4.617797e-04,-7.237290e-06,-3.605516e-04,1,1
60,-0.762572,0.022683,4.589332e-04,-8.274647e-06,-3.647877e-04,1,1
154,-0.762281,0.030395,4.588271e-04,-1.108757e-05,-3.647877e-04,1,1
114,-0.756152,0.025261,4.565827e-04,-9.283653e-06,-3.675025e-04,1,1
461,-0.752107,0.027334,4.550891e-04,-1.012760e-05,-3.705070e-04,1,1
45,-0.741394,0.019152,4.510859e-04,-7.212261e-06,-3.765735e-04,1,1
288,-0.736817,0.028872,4.493577e-04,-1.092436e-05,-3.783692e-04,1,1
339,-0.736359,0.020411,4.491843e-04,-7.722834e-06,-3.783692e-04,1,1
272,-0.732066,0.037480,4.475584e-04,-1.420688e-05,-3.790502e-04,1,1
96,-0.731503,0.028748,4.473451e-04,-1.089710e-05,-3.790502e-04,1,1
68,-0.730577,0.029374,4.469943e-04,-1.113411e-05,-3.790502e-04,1,1
261,-0.729496,0.025099,4.465843e-04,-9.513596e-06,-3.790502e-04,1,1
