neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
163,-1.596103,-0.516983,2.923872e-03,5.261707e-04,-1.017772e-03,1,0
182,-1.428196,-0.350165,2.752980e-03,3.563879e-04,-1.017772e-03,1,0
240,-1.400768,-0.322608,2.725065e-03,3.283416e-04,-1.017772e-03,1,0
287,-1.300193,-0.221195,2.622702e-03,2.251266e-04,-1.017772e-03,1,0
415,-1.284150,-0.206729,2.606375e-03,2.104026e-04,-1.017772e-03,1,0
136,-1.282285,-0.204918,2.604477e-03,2.085598e-04,-1.017772e-03,1,0
267,-1.248769,-0.172464,2.570365e-03,1.755292e-04,-1.017772e-03,1,0
224,-1.214229,-0.137084,2.535211e-03,1.395198e-04,-1.017772e-03,1,0
278,-1.188722,-0.111164,2.509251e-03,1.131394e-04,-1.017772e-03,1,0
389,-1.120938,-0.045038,2.440261e-03,4.583883e-05,-1.017772e-03,1,0
216,-1.118506,-0.042921,2.437787e-03,4.368357e-05,-1.017772e-03,1,0
391,-1.084738,-0.007907,2.403418e-03,8.047698e-06,-1.017772e-03,0,0
106,-0.994701,0.155597,2.308315e-03,-3.327706e-04,-2.138666e-03,1,0
220,-0.994668,0.147445,2.308244e-03,-3.153362e-04,-2.138666e-03,1,0
243,-0.994510,0.110889,2.307907e-03,-2.371555e-04,-2.138666e-03,1,0
372,-0.994432,0.155616,2.307740e-03,-3.328104e-04,-2.138666e-03,1,0
361,-0.994393,0.151300,2.307658e-03,-3.235811e-04,-2.138666e-03,1,0
316,-0.993787,0.129919,2.306360e-03,-2.778526e-04,-2.138666e-03,1,0
299,-0.993578,0.156879,2.305914e-03,-3.355127e-04,-2.138666e-03,1,0
414,-0.993390,0.148394,2.305511e-03,-3.173652e-04,-2.138666e-03,1,0
198,-0.993329,0.134902,2.305382e-03,-2.885107e-04,-2.138666e-03,1,0
355,-0.992681,0.125220,2.303996e-03,-2.678032e-04,-2.138666e-03,1,0
319,-0.992415,0.150711,2.303426e-03,-3.223200e-04,-2.138666e-03,1,0
43,-0.992170,0.148921,2.302903e-03,-3.184920e-04,-2.138666e-03,1,0
64,-0.991597,0.160145,2.301678e-03,-3.424967e-04,-2.138666e-03,1,0
201,-0.991270,0.157294,2.300978e-03,-3.363996e-04,-2.138666e-03,1,0
160,-0.990920,0.141962,2.300229e-03,-3.036088e-04,-2.138666e-03,1,0
192,-0.990214,0.151787,2.298720e-03,-3.246223e-04,-2.138666e-03,1,0
46,-0.989861,0.145822,2.297920e-03,-3.695409e-04,-2.534191e-03,1,0
474,-0.988430,0.156804,2.294292e-03,-3.973709e-04,-2.534191e-03,1,0
442,-0.988019,0.129541,2.293250e-03,-3.282817e-04,-2.534191e-03,1,0
380,-0.987711,0.139749,2.292472e-03,-3.541507e-04,-2.534191e-03,1,0
376,-0.987584,0.150735,2.292149e-03,-3.819908e-04,-2.534191e-03,1,0
477,-0.985492,0.143142,2.286847e-03,-3.627491e-04,-2.534191e-03,1,0
302,-0.981299,0.138518,2.274998e-03,-3.973358e-04,-2.868486e-03,1,0
325,-0.976539,0.121064,2.260376e-03,-3.816432e-04,-3.152411e-03,1,0
423,-0.971897,0.126785,2.245020e-03,-4.298280e-04,-3.390221e-03,1,0
241,-0.966959,0.115789,2.227696e-03,-4.152157e-04,-3.585976e-03,1,0
14,-0.959529,0.099822,2.200160e-03,-3.858440e-04,-3.865330e-03,1,0
188,-0.956141,0.101261,2.187065e-03,-3.914076e-04,-3.865330e-03,1,0
468,-0.955847,0.102595,2.185927e-03,-3.965634e-04,-3.865330e-03,1,0
337,-0.941676,0.091237,2.129320e-03,-3.701226e-04,-4.056705e-03,1,0
6,-0.938067,0.097555,2.114656e-03,-3.970392e-04,-4.069893e-03,1,0
458,-0.937157,0.086379,2.110951e-03,-3.515553e-04,-4.069893e-03,1,0
225,-0.911396,0.075095,2.007922e-03,-2.910262e-04,-3.875434e-03,1,0
230,-0.891335,0.051527,1.934275e-03,-1.790636e-04,-3.475133e-03,1,0
409,-0.859847,0.037972,1.839061e-03,-9.965630e-05,-2.624502e-03,1,0
112,-0.848977,0.028564,1.813273e-03,-6.101289e-05,-2.136030e-03,1,0
324,-0.847847,0.021208,1.810859e-03,-4.530022e-05,-2.136030e-03,0,0
151,-0.841705,0.025948,1.798220e-03,-5.113419e-05,-1.970622e-03,1,0
36,-0.831068,0.018865,1.779235e-03,-3.099950e-05,-1.643264e-03,0,0
18,-0.824975,0.007840,1.769960e-03,-1.162817e-05,-1.483099e-03,0,0
280,-0.816837,0.010259,1.759512e-03,-1.204705e-05,-1.174298e-03,0,0
92,-0.808612,-0.000042,1.750854e-03,3.744397e-08,-8.859817e-04,0,1
375,-0.795063,-0.007876,1.740689e-03,4.911457e-06,-6.235926e-04,0,1
154,-0.792549,-0.000838,1.739354e-03,4.219594e-07,-5.036149e-04,0,1
60,-0.785960,-0.010171,1.736429e-03,3.984101e-06,-3.917213e-04,0,1
114,-0.778549,-0.011183,1.734221e-03,2.170932e-06,-1.941358e-04,0,1
461,-0.774319,-0.011062,1.733410e-03,1.208190e-06,-1.092161e-04,0,1
45,-0.756144,-0.024773,1.733139e-03,-2.116879e-06,8.545194e-05,0,1
288,-0.755249,-0.015991,1.733216e-03,-1.366502e-06,8.545194e-05,0,1
272,-0.753839,-0.008486,1.733360e-03,-1.091936e-06,1.286794e-04,0,1
339,-0.751044,-0.025084,1.733720e-03,-3.227757e-06,1.286794e-04,0,1
96,-0.749204,-0.017765,1.733962e-03,-2.867254e-06,1.614030e-04,0,1
68,-0.748254,-0.017457,1.734115e-03,-2.817542e-06,1.614030e-04,0,1
261,-0.745302,-0.022149,1.734592e-03,-3.574892e-06,1.614030e-04,0,1
174,-0.745047,-0.019086,1.734633e-03,-3.080545e-06,1.614030e-04,0,1
186,-0.726715,-0.021202,1.738186e-03,-4.149575e-06,1.957208e-04,0,1
117,-0.720077,-0.038260,1.739412e-03,-6.833408e-06,1.786064e-04,1,1
102,-0.717857,-0.030465,1.739769e-03,-4.590819e-06,1.506940e-04,1,1
7,-0.717485,-0.019630,1.739825e-03,-2.958090e-06,1.506940e-04,0,1
143,-0.717007,-0.025415,1.739897e-03,-3.829900e-06,1.506940e-04,0,1
451,-0.715661,-0.018055,1.740100e-03,-2.720735e-06,1.506940e-04,0,1
40,-0.714073,-0.020355,1.740331e-03,-2.311967e-06,1.135834e-04,0,1
132,-0.713132,-0.038124,1.740438e-03,-4.330273e-06,1.135834e-04,1,1
208,-0.711529,-0.022758,1.740620e-03,-2.584911e-06,1.135834e-04,0,1
217,-0.708273,-0.030420,1.740945e-03,-2.106248e-06,6.923864e-05,1,1
498,-0.702437,-0.037159,1.741257e-03,-6.797162e-07,1.829234e-05,1,1
9,-0.699191,-0.023217,1.741313e-03,9.064371e-07,-3.904124e-05,0,1
71,-0.693734,-0.013589,1.741068e-03,1.391132e-06,-1.023741e-04,0,1
72,-0.690931,-0.029133,1.740781e-03,2.982489e-06,-1.023741e-04,1,1
300,-0.686458,-0.037015,1.740131e-03,6.354229e-06,-1.716675e-04,1,1
429,-0.685245,-0.046347,1.739923e-03,7.956302e-06,-1.716675e-04,1,1
24,-0.676752,-0.033905,1.737716e-03,1.102786e-05,-3.252563e-04,1,1
276,-0.674908,-0.026429,1.737116e-03,8.596042e-06,-3.252563e-04,1,1
12,-0.671219,-0.025798,1.735669e-03,1.054150e-05,-4.086129e-04,0,1
447,-0.670682,-0.037555,1.735449e-03,1.534532e-05,-4.086129e-04,1,1
294,-0.666760,-0.024364,1.733637e-03,1.206778e-05,-4.953147e-04,0,1
437,-0.665501,-0.041603,1.733014e-03,2.060646e-05,-4.953147e-04,1,1
175,-0.664372,-0.019533,1.732455e-03,9.674743e-06,-4.953147e-04,0,1
184,-0.661357,-0.029740,1.730712e-03,1.737411e-05,-5.842065e-04,1,1
227,-0.661046,-0.038236,1.730530e-03,2.233788e-05,-5.842065e-04,1,1
358,-0.655491,-0.023806,1.726958e-03,1.603519e-05,-6.735669e-04,0,1
63,-0.655471,-0.038917,1.726945e-03,2.621330e-05,-6.735669e-04,1,1
244,-0.655003,-0.038908,1.726630e-03,2.620715e-05,-6.735669e-04,1,1
126,-0.654424,-0.036770,1.726240e-03,2.476692e-05,-6.735669e-04,1,1
209,-0.651695,0.011344,1.724185e-03,-8.646977e-06,-7.622341e-04,0,1
342,-0.645656,-0.023596,1.719284e-03,2.000974e-05,-8.480162e-04,0,1
10,-0.643323,-0.030379,1.717240e-03,2.829411e-05,-9.313596e-04,1,1
439,-0.643133,-0.026306,1.717064e-03,2.450053e-05,-9.313596e-04,1,1
31,-0.640118,-0.007064,1.714255e-03,6.578980e-06,-9.313596e-04,0,1
197,-0.633663,-0.023099,1.707778e-03,2.511879e-05,-1.087418e-03,0,0
70,-0.609978,-0.017799,1.678782e-03,2.423663e-05,-1.361683e-03,0,0
196,-0.604486,-0.029287,1.671017e-03,4.172579e-05,-1.424741e-03,1,0
237,-0.602944,-0.018483,1.668755e-03,2.746598e-05,-1.486039e-03,0,0
286,-0.600477,-0.021443,1.665089e-03,3.186521e-05,-1.486039e-03,0,0
242,-0.596238,-0.014314,1.658628e-03,2.211253e-05,-1.544842e-03,0,0
194,-0.592413,-0.017014,1.652630e-03,2.723835e-05,-1.600963e-03,0,0
315,-0.581874,-0.016907,1.635273e-03,2.883261e-05,-1.705343e-03,0,0
