neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
78,-1.262737,2.167619,8.281069e-03,-1.020738e-02,-4.709031e-03,1,0
38,-0.889456,-3.564673,5.630542e-03,1.865994e-02,-5.234686e-03,1,0
41,-0.889456,-3.513760,5.630542e-03,1.839343e-02,-5.234686e-03,1,0
18,-0.889456,-3.558593,5.630542e-03,1.862812e-02,-5.234686e-03,1,0
15,-0.889455,-3.556138,5.630538e-03,1.861526e-02,-5.234686e-03,1,0
75,-0.889453,-2.459860,5.630528e-03,1.287660e-02,-5.234686e-03,1,0
22,-0.762444,2.955513,5.303682e-03,-1.392373e-02,-4.711102e-03,1,0
76,-0.762438,2.950220,5.303652e-03,-1.389879e-02,-4.711102e-03,1,0
49,-0.762430,2.942839,5.303612e-03,-1.386401e-02,-4.711102e-03,1,0
34,-0.762418,2.932876,5.303559e-03,-1.381708e-02,-4.711102e-03,1,0
2,-0.762143,2.974525,5.302263e-03,-1.401329e-02,-4.711102e-03,1,0
51,-0.762128,2.960342,5.302194e-03,-1.394647e-02,-4.711102e-03,1,0
72,-0.729568,2.900810,5.154795e-03,-1.361485e-02,-4.693465e-03,1,0
92,-0.728585,2.916370,5.150183e-03,-1.366747e-02,-4.686467e-03,1,0
60,-0.725277,2.919806,5.134679e-03,-1.368357e-02,-4.686467e-03,1,0
71,-0.725261,2.931311,5.134604e-03,-1.373749e-02,-4.686467e-03,1,0
37,-0.583678,-2.524386,4.392708e-03,1.157182e-02,-4.584013e-03,1,0
83,-0.583628,-2.513071,4.392480e-03,1.151995e-02,-4.584013e-03,1,0
1,-0.583620,-2.511135,4.392441e-03,1.151108e-02,-4.584013e-03,1,0
43,-0.583602,-2.507121,4.392360e-03,1.149267e-02,-4.584013e-03,1,0
85,-0.583485,-2.484007,4.391825e-03,1.138672e-02,-4.584013e-03,1,0
28,-0.583484,-2.484745,4.391820e-03,1.139011e-02,-4.584013e-03,1,0
95,-0.583478,-2.479184,4.391790e-03,1.136461e-02,-4.584013e-03,1,0
45,-0.583440,-2.470621,4.391618e-03,1.132536e-02,-4.584013e-03,1,0
21,-0.583424,-2.466821,4.391543e-03,1.130794e-02,-4.584013e-03,1,0
25,-0.583287,-2.435887,4.390915e-03,1.116614e-02,-4.584013e-03,1,0
79,-0.583138,-2.402914,4.390233e-03,1.101499e-02,-4.584013e-03,1,0
59,-0.582938,-2.356749,4.389316e-03,1.080337e-02,-4.584013e-03,1,0
14,-0.419193,2.651179,3.700859e-03,-1.169282e-02,-4.410423e-03,1,0
19,-0.419186,2.648746,3.700830e-03,-1.168209e-02,-4.410423e-03,1,0
13,-0.419184,2.647967,3.700821e-03,-1.167865e-02,-4.410423e-03,1,0
36,-0.419173,2.643119,3.700770e-03,-1.165727e-02,-4.410423e-03,1,0
86,-0.419172,2.643011,3.700769e-03,-1.165679e-02,-4.410423e-03,1,0
54,-0.419171,2.642404,3.700762e-03,-1.165412e-02,-4.410423e-03,1,0
94,-0.419158,2.637117,3.700705e-03,-1.163080e-02,-4.410423e-03,1,0
5,-0.419139,2.626674,3.700623e-03,-1.158474e-02,-4.410423e-03,1,0
3,-0.419074,2.600045,3.700333e-03,-1.146730e-02,-4.410423e-03,1,0
64,-0.418892,2.526656,3.699531e-03,-1.114362e-02,-4.410423e-03,1,0
11,-0.418883,2.522332,3.699490e-03,-1.112455e-02,-4.410423e-03,1,0
50,-0.251881,-3.875271,2.841209e-03,1.614725e-02,-4.166741e-03,1,0
65,-0.251831,-3.912985,2.841003e-03,1.630439e-02,-4.166741e-03,1,0
97,-0.251765,-3.963369,2.840727e-03,1.651433e-02,-4.166741e-03,1,0
47,-0.251764,-3.964108,2.840722e-03,1.651741e-02,-4.166741e-03,1,0
8,-0.251738,-3.984328,2.840612e-03,1.660166e-02,-4.166741e-03,1,0
93,-0.251737,-3.985255,2.840607e-03,1.660552e-02,-4.166741e-03,1,0
30,-0.251733,-3.988220,2.840590e-03,1.661788e-02,-4.166741e-03,1,0
23,-0.089439,6.822001,2.611941e-03,-2.632678e-02,-3.859099e-03,1,0
12,-0.089419,6.828615,2.611863e-03,-2.635230e-02,-3.859099e-03,1,0
0,-0.089418,6.826933,2.611859e-03,-2.634581e-02,-3.859099e-03,1,0
17,-0.065329,6.787638,2.522830e-03,-2.575377e-02,-3.794216e-03,1,0
33,0.070414,-4.056616,1.542182e-03,1.392441e-02,-3.432519e-03,1,0
91,0.070494,-3.991531,1.541906e-03,1.370101e-02,-3.432519e-03,1,0
80,0.079705,-4.048564,1.510402e-03,1.379235e-02,-3.406727e-03,1,0
57,0.079733,-4.045054,1.510306e-03,1.378039e-02,-3.406727e-03,1,0
6,0.101432,-3.979759,1.437028e-03,1.332764e-02,-3.348856e-03,1,0
42,0.101456,-3.994998,1.436947e-03,1.337867e-02,-3.348856e-03,1,0
58,0.101523,-4.036907,1.436724e-03,1.351902e-02,-3.348856e-03,1,0
31,0.250519,2.291844,1.143158e-03,-6.610414e-03,-2.884321e-03,1,0
99,0.250603,2.270574,1.142915e-03,-6.549063e-03,-2.884321e-03,1,0
32,0.250621,2.270945,1.142863e-03,-6.550133e-03,-2.884321e-03,1,0
70,0.250636,2.263865,1.142819e-03,-6.529713e-03,-2.884321e-03,1,0
82,0.250679,2.258590,1.142696e-03,-6.514497e-03,-2.884321e-03,1,0
16,0.250687,2.256833,1.142671e-03,-6.509431e-03,-2.884321e-03,1,0
63,0.250692,2.257868,1.142658e-03,-6.512414e-03,-2.884321e-03,1,0
39,0.250827,2.225026,1.142268e-03,-6.417687e-03,-2.884321e-03,1,0
88,0.250832,2.224241,1.142253e-03,-6.415423e-03,-2.884321e-03,1,0
74,0.250839,2.226006,1.142235e-03,-6.420514e-03,-2.884321e-03,1,0
44,0.250868,2.222039,1.142150e-03,-6.409074e-03,-2.884321e-03,1,0
55,0.250933,2.207137,1.141962e-03,-6.366092e-03,-2.884321e-03,1,0
90,0.251018,2.189856,1.141718e-03,-6.316246e-03,-2.884321e-03,1,0
77,0.408656,-2.595288,6.485156e-04,6.108150e-03,-2.353554e-03,1,0
40,0.408695,-2.656080,6.484250e-04,6.251226e-03,-2.353554e-03,1,0
26,0.408707,-2.676376,6.483950e-04,6.298994e-03,-2.353554e-03,1,0
81,0.408717,-2.692485,6.483716e-04,6.336907e-03,-2.353554e-03,1,0
7,0.408720,-2.697505,6.483642e-04,6.348721e-03,-2.353554e-03,1,0
46,0.408723,-2.701045,6.483589e-04,6.357054e-03,-2.353554e-03,1,0
66,0.408725,-2.704569,6.483537e-04,6.365348e-03,-2.353554e-03,1,0
29,0.408725,-2.705371,6.483525e-04,6.367236e-03,-2.353554e-03,1,0
84,0.408732,-2.715811,6.483368e-04,6.391805e-03,-2.353554e-03,1,0
87,0.408792,-2.668945,6.481960e-04,6.281505e-03,-2.353554e-03,1,0
69,0.583486,12.319872,1.220599e-03,-2.157236e-02,-1.751022e-03,1,0
27,0.583632,12.065975,1.220343e-03,-2.112778e-02,-1.751022e-03,1,0
62,0.748715,-1.862514,7.300812e-05,2.141684e-03,-1.149889e-03,1,0
