neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
78,-1.933406,-0.494941,-5.378307e-04,-6.344734e-04,1.281917e-03,1,0
75,-0.940436,1.023342,1.016668e-03,4.597682e-04,4.492810e-04,1,1
38,-0.940416,1.040058,1.016677e-03,4.672782e-04,4.492810e-04,1,1
15,-0.940414,1.047655,1.016677e-03,4.706916e-04,4.492810e-04,1,1
41,-0.940414,1.034083,1.016678e-03,4.645939e-04,4.492810e-04,1,1
18,-0.940412,1.034287,1.016679e-03,4.646855e-04,4.492810e-04,1,1
51,-0.789090,-0.930019,-2.136509e-03,-2.560100e-04,2.752741e-04,1,1
2,-0.789087,-0.909826,-2.136508e-03,-2.504514e-04,2.752741e-04,1,1
76,-0.789084,-0.926954,-2.136507e-03,-2.551664e-04,2.752741e-04,1,1
34,-0.789081,-0.905140,-2.136506e-03,-2.491614e-04,2.752741e-04,1,1
49,-0.789080,-0.902432,-2.136506e-03,-2.484162e-04,2.752741e-04,1,1
92,-0.789078,-0.930148,-2.136505e-03,-2.560457e-04,2.752741e-04,1,1
60,-0.789077,-0.926957,-2.136505e-03,-2.551672e-04,2.752741e-04,1,1
71,-0.789074,-0.860624,-2.136505e-03,-2.369074e-04,2.752741e-04,1,1
72,-0.638248,1.227641,2.132188e-03,4.650264e-03,3.787967e-03,1,0
45,-0.638248,1.231673,2.132189e-03,4.665537e-03,3.787967e-03,1,0
37,-0.638222,1.217164,2.132287e-03,4.610577e-03,3.787967e-03,1,0
79,-0.638222,1.196417,2.132287e-03,4.531989e-03,3.787967e-03,1,0
22,-0.638222,1.174802,2.132288e-03,4.450111e-03,3.787967e-03,1,0
1,-0.497455,-0.502357,-1.248559e-03,-4.804501e-04,9.563924e-04,1,1
21,-0.497452,-0.591856,-1.248556e-03,-5.660465e-04,9.563924e-04,1,1
85,-0.497452,-0.592375,-1.248556e-03,-5.665431e-04,9.563924e-04,1,1
95,-0.497448,-0.608505,-1.248553e-03,-5.819693e-04,9.563924e-04,1,1
43,-0.497444,-0.560896,-1.248549e-03,-5.364362e-04,9.563924e-04,1,1
14,-0.497434,-0.543711,-1.248540e-03,-5.200007e-04,9.563924e-04,1,1
83,-0.497433,-0.555357,-1.248539e-03,-5.311388e-04,9.563924e-04,1,1
19,-0.497431,-0.572133,-1.248537e-03,-5.471833e-04,9.563924e-04,1,1
